season,game_number,date,start_time,opponent,tournament,venue,result,unc_score,opponent_score,attendance
2015-16,27,Feb 20(Sat),1:00 PM,Miami,,Dean E. Smith Center,"W, 96-71",96,71,20151.0
2015-16,28,Feb 24(Wed),8:00 PM,NC State,,Lenovo Center,"W, 80-68",80,68,19500.0
2015-16,29,Feb 27(Sat),6:30 PM,Virginia,,John Paul Jones Arena,"L, 74-79",74,79,14593.0
2015-16,30,Feb 29(Mon),7:00 PM,Syracuse,,Dean E. Smith Center,"W, 75-70",75,70,20714.0
2015-16,31,Mar 5(Sat),6:30 PM,Duke,,Cameron Indoor Stadium,"W, 76-72",76,72,9314.0
2015-16,32,Mar 10(Thu),12:00 PM,Pittsburgh,ACC Tournament,Capital One Arena,"W, 88-71",88,71,18561.0
2015-16,33,Mar 11(Fri),7:00 PM,Notre Dame,ACC Tournament,Capital One Arena,"W, 78-47",78,47,20719.0
2015-16,34,Mar 12(Sat),9:00 PM,Virginia,ACC Tournament,Capital One Arena,"W, 61-57",61,57,20719.0
2015-16,35,Mar 17(Thu),7:20 PM,Florida Gulf Coast,NCAA Tournament,Lenovo Center,"W, 83-67",83,67,
2015-16,36,Mar 19(Sat),9:40 PM,Providence,NCAA Tournament,Lenovo Center,"W, 85-66",85,66,19433.0
2015-16,37,Mar 25(Fri),9:57 PM,Indiana,NCAA Tournament,Wells Fargo Center,"W, 101-86",101,86,20686.0
2015-16,38,Mar 27(Sun),8:49 PM,Notre Dame,NCAA Tournament,Wells Fargo Center,"W, 88-74",88,74,20743.0
2015-16,39,Apr 2(Sat),8:49 PM,Syracuse,NCAA Tournament,Toyota Center,"W, 83-66",83,66,75505.0
2015-16,40,Apr 4(Mon),9:19 PM,Villanova,NCAA Tournament,Toyota Center,"L, 74-77",74,77,74340.0
2016-17,1,Nov 11(Fri),9:00 PM,Tulane,,Smoothie King Center,"W, 95-75",95,75,6043.0
2016-17,2,Nov 13(Sun),4:00 PM,Chattanooga,Maui Invitational,Dean E. Smith Center,"W, 97-57",97,57,13402.0
2016-17,3,Nov 15(Tue),8:00 PM,Long Beach State,,Dean E. Smith Center,"W, 93-67",93,67,12581.0
2016-17,4,Nov 18(Fri),1:00 PM,Hawai'i,,SimpliFi Arena at Stan Sheriff Center,"W, 83-68",83,68,10300.0
2016-17,5,Nov 21(Mon),11:30 PM,Chaminade,Maui Invitational,Lahaina Civic Center,"W, 104-61",104,61,2400.0
2016-17,6,Nov 22(Tue),10:30 PM,Oklahoma State,Maui Invitational,Lahaina Civic Center,"W, 107-75",107,75,2400.0
2016-17,7,Nov 23(Wed),9:30 PM,Wisconsin,Maui Invitational,Lahaina Civic Center,"W, 71-56",71,56,2400.0
2016-17,8,Nov 30(Wed),9:00 PM,Indiana,ACC/Big Ten Challenge,Simon Skjodt Assembly Hall,"L, 67-76",67,76,17222.0
2016-17,9,Dec 4(Sun),2:00 PM,Radford,,Dean E. Smith Center,"W, 95-50",95,50,14230.0
2016-17,10,Dec 7(Wed),9:00 PM,Davidson,,Dean E. Smith Center,"W, 83-74",83,74,13178.0
2016-17,11,Dec 11(Sun),5:00 PM,Tennessee,,Dean E. Smith Center,"W, 73-71",73,71,18745.0
2016-17,12,Dec 17(Sat),5:45 PM,Kentucky,CBS Sports Classic,T-Mobile Arena,"L, 100-103",100,103,19298.0
2016-17,13,Dec 21(Wed),8:00 PM,Northern Iowa,,Dean E. Smith Center,"W, 85-42",85,42,18033.0
2016-17,14,Dec 28(Wed),7:00 PM,Monmouth,,Dean E. Smith Center,"W, 102-74",102,74,20064.0
2016-17,15,Dec 31(Sat),12:00 PM,Georgia Tech,,McCamish Pavilion,"L, 63-75",63,75,7754.0
2016-17,16,Jan 3(Tue),7:00 PM,Clemson,,Littlejohn Coliseum,"W, 89-86",89,86,8716.0
2016-17,17,Jan 8(Sun),1:00 PM,NC State,,Dean E. Smith Center,"W, 107-56",107,56,16133.0
2016-17,18,Jan 11(Wed),8:00 PM,Wake Forest,,Lawrence Joel Veterans Memorial Coliseum,"W, 93-87",93,87,13159.0
2016-17,19,Jan 14(Sat),2:00 PM,Florida State,,Dean E. Smith Center,"W, 96-83",96,83,21750.0
2016-17,20,Jan 16(Mon),7:00 PM,Syracuse,,Dean E. Smith Center,"W, 85-68",85,68,20588.0
2016-17,21,Jan 21(Sat),12:00 PM,Boston College,,Conte Forum,"W, 90-82",90,82,8606.0
